,name,token_id,asset_contract,payment_token,total_price,usd_exchange_rate,seller_adress,buyer_adress,time_stamp
70,CryptoPunk #9022,530532,CryptoPunks,ETH,20940000000000000000,3462.909999999999854000,0xa06bd718818fdb24edf4a32e509fc911b5784881,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T13:27:33
71,CryptoPunk #3226,178448,CryptoPunks,ETH,20650000000000000000,3462.909999999999854000,0xe53ef2dae90d98c7b89fca164315dc81ded0182d,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T13:00:39
72,CryptoPunk #6506,179301,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0xd41d359c4ee038b75d273f17ad4b3e9c68a86442,0x2978f0e4475c32996eeeba4d0e69777f6c8e5ae0,2021-05-04T12:55:47
73,CryptoPunk #2870,179712,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,0x59d2bcc2761029b058c812a32b7bf05f26078ee4,2021-05-04T12:48:26
74,CryptoPunk #4195,527535,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T12:04:17
75,CryptoPunk #8444,176847,CryptoPunks,ETH,20590000000000000000,3462.909999999999854000,0x2978f0e4475c32996eeeba4d0e69777f6c8e5ae0,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T11:10:54
76,CryptoPunk #6734,529138,CryptoPunks,ETH,25750000000000000000,3462.909999999999854000,0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,0x967ee5faa6344323c2898a657a56118b50a45163,2021-05-04T10:52:07
77,CryptoPunk #6493,528991,CryptoPunks,ETH,24000000000000000000,3462.909999999999854000,0x967ee5faa6344323c2898a657a56118b50a45163,0x641fb9877b73823f41f0f25de666275e6e846e75,2021-05-04T10:10:28
78,CryptoPunk #6493,528991,CryptoPunks,ETH,25750000000000000000,3462.909999999999854000,0x4affe16d35143db85027c05d97f56ebdc668347e,0x641fb9877b73823f41f0f25de666275e6e846e75,2021-05-04T09:59:00
79,CryptoPunk #8444,176847,CryptoPunks,ETH,20950000000000000000,3462.909999999999854000,0xa45138fc3c3b82686fda37dab90034621b6aceb2,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T09:47:07
80,CryptoPunk #2542,526591,CryptoPunks,ETH,20690000000000000000,3462.909999999999854000,0x2978f0e4475c32996eeeba4d0e69777f6c8e5ae0,0xc5b0662b034ddd10cc068768cb6aaea120944506,2021-05-04T09:43:06
81,CryptoPunk #8956,180089,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,0x7e21cdfa60e69bd0455ae0c3083c4ef3e4b33aa4,2021-05-04T07:32:45
82,CryptoPunk #9124,177230,CryptoPunks,ETH,23000000000000000000,3462.909999999999854000,0x972e633f5f6f62d1f2a13977f113941fcb3b606b,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,2021-05-04T07:17:53
83,CryptoPunk #4957,528025,CryptoPunks,ETH,26950000000000000000,3462.909999999999854000,0x14ae8100ea85a11bbb36578f83ab1b5c1cfdd61c,0xbb1ec73938b9df4baab4f5c43af96385a862811e,2021-05-04T06:58:28
84,CryptoPunk #661,525387,CryptoPunks,ETH,45000000000000000000,3462.909999999999854000,0xba19945798d02e0441b2d1c3ecfdee84b3e32683,0x05467ecea464e1704c3fd142ef9ba816ba7a7088,2021-05-04T06:40:32
85,CryptoPunk #9335,176860,CryptoPunks,ETH,26260000000000000000,3462.909999999999854000,0x39ba319c2e57a31807ad1eb7c4b0b8e68ace7c0a,0x05467ecea464e1704c3fd142ef9ba816ba7a7088,2021-05-04T06:29:06
86,CryptoPunk #9060,530556,CryptoPunks,ETH,27500000000000000000,3462.909999999999854000,0x78f0269f5b1ca914c8c58993f41181f89e212b27,0x05467ecea464e1704c3fd142ef9ba816ba7a7088,2021-05-04T06:28:39
87,CryptoPunk #6361,528908,CryptoPunks,ETH,27000000000000000000,3462.909999999999854000,0xf7f7d74ce9fc6626d629c6e90d9aaa359417dcb5,0x05467ecea464e1704c3fd142ef9ba816ba7a7088,2021-05-04T06:28:39
88,CryptoPunk #3846,527309,CryptoPunks,ETH,25000000000000000000,3462.909999999999854000,0x4d0dc3590f4a0543f6ad2f6c26958b7198a13b80,0x05467ecea464e1704c3fd142ef9ba816ba7a7088,2021-05-04T06:15:57
89,CryptoPunk #5936,528624,CryptoPunks,ETH,26990000000000000000,3462.909999999999854000,0xaea8e3bd369217cc6e3e6abddf0da318fba8e59b,0x05467ecea464e1704c3fd142ef9ba816ba7a7088,2021-05-04T06:15:55
90,CryptoPunk #5071,528096,CryptoPunks,ETH,27750000000000000000,3462.909999999999854000,0xb7d53fa56cf10d3f1eb2d1b182d756d395321b84,0x05467ecea464e1704c3fd142ef9ba816ba7a7088,2021-05-04T06:15:30
91,CryptoPunk #5568,528396,CryptoPunks,ETH,28000000000000000000,3462.909999999999854000,0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,0x05467ecea464e1704c3fd142ef9ba816ba7a7088,2021-05-04T06:15:15
92,CryptoPunk #8937,530487,CryptoPunks,ETH,26000000000000000000,3462.909999999999854000,0x78b58e4197c04d320a33c582ecc3e7e885f26a58,0x05467ecea464e1704c3fd142ef9ba816ba7a7088,2021-05-04T06:12:47
93,CryptoPunk #2235,526434,CryptoPunks,ETH,20500000000000000000,3462.909999999999854000,0x0ebd1ab9c0070e857541f9add5a909a8971d0bad,0x00653d03b147a663390dd5c5b1a55dc9cc0bd2fd,2021-05-04T05:34:04
94,CryptoPunk #6505,528999,CryptoPunks,ETH,33000000000000000000,3462.909999999999854000,0x00653d03b147a663390dd5c5b1a55dc9cc0bd2fd,0xf2907acb30273f87d8a2f3154f2625ea7bf8f81f,2021-05-04T05:25:56
95,CryptoPunk #7678,529731,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,0x86f39177283138fd6f5e344dfb78675ba4759ada,2021-05-04T03:42:49
96,CryptoPunk #8542,530248,CryptoPunks,ETH,20240000000000000000,3462.909999999999854000,0xe85740d4b34f727e8cbc9d676d253a4fd736a239,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T03:27:33
97,CryptoPunk #8565,530263,CryptoPunks,ETH,25750000000000000000,3462.909999999999854000,0x7dd758d5b7e10bd45cef5b2bc79d17bf45192e10,0x12e5e3e7a1389fed96e1be50aed32316c027b18b,2021-05-04T03:23:48
98,CryptoPunk #3526,527133,CryptoPunks,ETH,26900000000000000000,3462.909999999999854000,0x429a06d10d0235a57ebd00e6ee334278eb385c94,0x728b0fd70519120e3eb0d7f29bd359eeb95fb73c,2021-05-04T03:16:46
99,CryptoPunk #1765,526158,CryptoPunks,ETH,43000000000000000000,3462.909999999999854000,0xe907c99288007b394e77267f9b77e1053cd55d29,0xcf8401fabc11524de68ca98e52b7459e52b0ce89,2021-05-04T03:12:25
100,CryptoPunk #7987,529912,CryptoPunks,ETH,29990000000000000000,3462.909999999999854000,0x5f5df42ddb92d621176a59c437f54fcf1bb4be23,0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,2021-05-04T02:44:15
101,CryptoPunk #6888,529246,CryptoPunks,ETH,27910000000000000000,3462.909999999999854000,0x848fa9ec76391b94a83442170085f8ca863b1624,0xb73307417e3d0e0d68bb457005471f67a998a2af,2021-05-04T02:10:20
102,CryptoPunk #9849,178580,CryptoPunks,ETH,46500000000000000000,3462.909999999999854000,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,0x4154245739a63cd6caa8db8c1ae24209dd411dc6,2021-05-04T02:04:05
103,CryptoPunk #7401,529567,CryptoPunks,ETH,26990000000000000000,3462.909999999999854000,0xd1e8b72a2a1aab308b5b770864a4f613d8d79ef6,0x1bb77204b2ed64751138145c26a6b31e836ddcdb,2021-05-04T01:53:48
104,CryptoPunk #8542,530248,CryptoPunks,ETH,18690000000000000000,3462.909999999999854000,0x37ad75d01f35a9d5ed18a2642a97f1eba689a3fd,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T01:32:41
105,CryptoPunk #7814,177276,CryptoPunks,ETH,77000000000000000000,3462.909999999999854000,0xb4bb4156e5e6ca5d81041f616c27dffb253b7845,0x83d66b34c20d177c035edef859bf6bcbb174afeb,2021-05-04T00:35:31
106,CryptoPunk #1944,179850,CryptoPunks,ETH,30000000000000000000,3462.909999999999854000,0x5778e8b4d83f0edce876b362f9d0027b3f5fb351,0xc66b8de8a287a5ec1291aefa84bc9ed735d7f08d,2021-05-04T00:24:52
107,CryptoPunk #5828,158832,CryptoPunks,ETH,25000000000000000000,3462.909999999999854000,0xa300b09db2d49bb858e9b402d96b790d44e83fe8,0x639baab33a1619beccb32670783ee0739e3f0561,2021-05-03T23:45:00
108,CryptoPunk #9881,531038,CryptoPunks,ETH,31900000000000000000,3462.909999999999854000,0xb70c1a3242e363b4772b83acdc10df94e6c3fb02,0xcf8401fabc11524de68ca98e52b7459e52b0ce89,2021-05-03T23:40:05
109,CryptoPunk #6765,529159,CryptoPunks,ETH,21450000000000000000,3462.909999999999854000,0x38740516f691a66b4c1cd9156e9434c7915e73b3,0x8a3d2efdb70c3fa23e0f38bdcb95c4f39ad1e127,2021-05-03T22:44:17
110,CryptoPunk #7080,529366,CryptoPunks,ETH,20000000000000000000,3462.909999999999854000,0x62bdc64a14405e797f86796ea3c2476209ee0bf9,0x9bf3bdec49a48b64bfc6215940e7d0f7e77ab4a9,2021-05-03T22:18:09
111,CryptoPunk #3175,172730,CryptoPunks,ETH,20100000000000000000,3462.909999999999854000,0x899241b0c41051313ce36271a7e13d54c94877a1,0x3d010781df9efe1b2ec90adbd7189f4b640de626,2021-05-03T22:03:40
112,CryptoPunk #4639,177311,CryptoPunks,ETH,67000000000000000000,3462.909999999999854000,0x4c969243fc60179b4aca73a361755aaa227f2241,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,2021-05-03T21:50:01
113,CryptoPunk #3901,180236,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,0x023ef73d4c6de80dd3e52b8aae579b8f0e5cbeb4,2021-05-03T21:23:50
114,CryptoPunk #3834,527303,CryptoPunks,ETH,20990000000000000000,3462.909999999999854000,0xaae8c50d76c76fb8947c9a203103d28b55862977,0xd5bc6960cae38bd36439cd3a217a41d7427a22ed,2021-05-03T21:07:03
115,CryptoPunk #5647,176766,CryptoPunks,ETH,75000000000000000000,3462.909999999999854000,0x78b58e4197c04d320a33c582ecc3e7e885f26a58,0xcf8401fabc11524de68ca98e52b7459e52b0ce89,2021-05-03T21:07:03
116,CryptoPunk #3299,527007,CryptoPunks,ETH,24970000000000000000,3462.909999999999854000,0xa6e2e910515e6cf485462eeb6e454df33c60cb0e,0xbb1ec73938b9df4baab4f5c43af96385a862811e,2021-05-03T20:42:24
117,CryptoPunk #4726,177410,CryptoPunks,ETH,25000000000000000000,3462.909999999999854000,0x4c969243fc60179b4aca73a361755aaa227f2241,0xbb1ec73938b9df4baab4f5c43af96385a862811e,2021-05-03T20:42:24
